employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
27495,Operations,region_2,Master's & above,m,other,2,43,3,2,0,0,69
24324,Operations,region_23,Bachelor's,m,other,1,32,3,2,1,0,62
14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4,2,1,0,69
56246,Operations,region_2,Master's & above,m,other,1,52,5,8,0,0,59
3901,Technology,region_13,Master's & above,m,other,1,38,5,2,0,0,88
41566,Finance,region_20,Bachelor's,m,other,1,35,3,4,0,0,59
55735,Technology,region_31,Master's & above,m,other,1,39,5,4,0,1,81
53627,Procurement,region_7,Bachelor's,m,other,1,31,3,5,1,0,65
62683,Operations,region_27,Bachelor's,m,sourcing,1,37,3,5,0,0,57
42719,Analytics,region_21,,m,sourcing,1,27,,1,0,0,80
44948,Operations,region_30,Master's & above,f,other,1,37,5,9,1,0,56
26037,Analytics,region_16,Bachelor's,m,other,2,31,3,5,1,0,81
30607,Analytics,region_22,Bachelor's,m,sourcing,1,28,5,4,1,0,85
46103,Technology,region_15,Bachelor's,m,other,1,26,3,3,0,0,77
6452,Finance,region_2,Master's & above,m,other,1,49,4,7,1,0,62
47286,Procurement,region_13,Bachelor's,f,other,1,34,3,9,0,0,68
44117,Finance,region_4,Master's & above,f,other,1,38,3,2,0,0,58
1367,Sales & Marketing,region_13,Master's & above,m,other,1,52,4,4,1,0,51
26228,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,31,1,7,1,0,50
65694,Technology,region_2,Bachelor's,f,other,1,24,1,2,0,0,82
2721,Analytics,region_22,,f,sourcing,2,26,5,3,1,0,86
63901,HR,region_7,Bachelor's,m,other,1,31,2,5,0,0,66
4701,Technology,region_26,Bachelor's,f,other,1,43,1,4,1,0,86
35341,Procurement,region_4,Master's & above,m,other,4,37,3,6,0,0,68
3203,Sales & Marketing,region_2,,m,sourcing,1,37,4,4,0,0,50
10361,HR,region_2,Master's & above,m,other,1,37,5,9,1,0,53
6572,Operations,region_29,Bachelor's,m,other,1,32,5,8,1,0,58
70408,Sales & Marketing,region_26,Bachelor's,f,other,1,30,4,2,0,0,53
11774,Procurement,region_20,Bachelor's,f,other,1,30,5,4,1,0,71
37873,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,27,4,3,0,0,50
3886,Sales & Marketing,region_2,Bachelor's,m,other,2,36,4,8,0,0,45
23347,Technology,region_9,Bachelor's,m,sourcing,4,30,3,2,0,0,78
3034,Procurement,region_2,Master's & above,m,sourcing,1,49,4,19,0,0,73
30137,Sales & Marketing,region_10,Master's & above,m,other,1,38,5,5,0,0,63
52431,Sales & Marketing,region_30,Bachelor's,m,other,1,29,3,6,0,0,51
11061,Technology,region_33,Bachelor's,m,other,1,48,3,6,1,0,81
9706,Sales & Marketing,region_21,Bachelor's,m,other,1,29,,1,0,0,53
17607,Analytics,region_2,Master's & above,m,other,1,59,4,13,0,0,82
64986,Operations,region_7,Bachelor's,f,other,1,36,5,5,1,0,62
8082,Finance,region_13,Bachelor's,m,other,1,28,3,3,0,0,59
20982,Procurement,region_22,Bachelor's,m,other,2,27,4,2,1,0,68
5794,Operations,region_2,Bachelor's,m,sourcing,1,25,3,2,0,0,62
69381,Sales & Marketing,region_26,Bachelor's,m,other,1,30,5,6,1,0,52
50176,HR,region_27,Below Secondary,m,other,1,23,,1,0,0,51
1612,HR,region_15,Bachelor's,f,sourcing,1,28,,1,0,0,50
48923,Sales & Marketing,region_2,Bachelor's,m,other,1,38,4,5,1,0,48
50366,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,,1,1,0,45
48813,HR,region_2,Bachelor's,f,other,1,53,4,21,0,0,53
5574,Sales & Marketing,region_8,Master's & above,m,other,1,35,3,8,0,0,45
57601,HR,region_2,Bachelor's,m,other,1,45,3,14,1,0,53
26788,Sales & Marketing,region_26,,m,sourcing,1,40,1,8,0,0,51
564,Operations,region_32,Bachelor's,m,other,1,39,3,8,0,0,58
3864,Analytics,region_13,Bachelor's,m,other,1,46,4,6,0,0,82
19598,Technology,region_5,Bachelor's,m,sourcing,2,29,3,3,0,0,79
19513,Analytics,region_6,Bachelor's,m,other,1,28,,1,1,0,84
74965,Technology,region_15,Bachelor's,f,other,1,34,4,6,1,0,82
42353,Sales & Marketing,region_9,Bachelor's,m,other,1,23,,1,1,0,47
13367,Sales & Marketing,region_14,Bachelor's,m,other,1,38,5,3,0,0,51
38556,HR,region_22,Master's & above,m,sourcing,1,32,3,5,0,0,52
51344,Operations,region_26,Bachelor's,m,other,1,33,3,5,1,0,58
28320,Procurement,region_2,Bachelor's,f,other,1,39,4,9,0,0,70
56104,Procurement,region_4,Master's & above,m,other,4,36,3,6,0,0,71
68882,Operations,region_22,Bachelor's,m,sourcing,2,33,4,4,0,0,59
75800,Sales & Marketing,region_2,Bachelor's,f,other,1,29,4,6,1,0,45
13223,R&D,region_7,Bachelor's,f,other,1,32,3,5,0,0,85
62740,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,3,2,1,0,46
67233,Analytics,region_32,Bachelor's,m,sourcing,1,38,3,3,0,0,82
49207,Procurement,region_22,Master's & above,m,sourcing,1,42,2,15,0,0,70
19053,Operations,region_32,Bachelor's,f,sourcing,1,30,5,6,0,0,60
38096,Analytics,region_22,Bachelor's,m,sourcing,2,28,,1,0,0,83
46519,Sales & Marketing,region_14,Bachelor's,m,other,1,36,4,6,0,0,47
2111,Procurement,region_2,Bachelor's,f,other,1,56,5,6,0,0,84
69413,Sales & Marketing,region_14,Bachelor's,f,other,1,30,3,5,0,0,51
53827,Sales & Marketing,region_15,Bachelor's,m,other,2,25,,1,0,0,50
40064,HR,region_7,Bachelor's,f,other,1,29,5,6,1,0,49
33502,Sales & Marketing,region_7,Bachelor's,m,other,1,36,2,7,0,0,47
15182,Technology,region_14,Bachelor's,f,other,1,39,3,4,0,0,80
13593,Analytics,region_26,Bachelor's,m,sourcing,1,30,5,4,1,0,84
15613,R&D,region_2,Bachelor's,m,other,2,42,3,9,0,0,84
75751,Sales & Marketing,region_26,Bachelor's,m,sourcing,2,37,4,9,0,0,49
71625,Procurement,region_22,Bachelor's,m,sourcing,1,31,2,2,1,0,66
37763,Sales & Marketing,region_28,Master's & above,m,sourcing,1,32,4,6,1,0,48
10812,Operations,region_15,Master's & above,m,other,1,40,5,11,1,0,59
67357,Finance,region_2,Bachelor's,m,sourcing,2,39,5,10,1,0,58
49583,Sales & Marketing,region_26,Bachelor's,m,other,1,40,4,10,1,0,47
45428,HR,region_22,Bachelor's,m,sourcing,1,23,1,2,0,0,45
9978,Operations,region_2,Bachelor's,m,sourcing,2,28,,1,0,0,60
44266,Sales & Marketing,region_7,Bachelor's,m,other,1,37,2,4,0,0,51
47252,Finance,region_2,Below Secondary,m,sourcing,1,23,,1,1,0,58
57884,Operations,region_2,Bachelor's,m,sourcing,1,37,3,9,0,0,61
24334,Legal,region_22,Bachelor's,m,referred,1,29,5,3,1,0,54
58892,Operations,region_32,Bachelor's,f,other,1,38,4,10,0,0,55
40799,Operations,region_22,Bachelor's,m,other,2,39,4,10,0,0,57
33879,Sales & Marketing,region_22,Master's & above,m,other,2,38,5,7,1,0,48
24403,Procurement,region_13,Bachelor's,m,sourcing,1,34,3,4,0,0,69
51150,Procurement,region_15,Bachelor's,f,other,1,48,5,21,0,0,69
7722,R&D,region_26,Master's & above,m,other,1,29,5,4,0,0,82
71271,Technology,region_13,Master's & above,f,other,1,37,4,7,1,0,81
56772,Sales & Marketing,region_22,,m,other,2,23,,1,1,0,53
65909,Operations,region_2,Bachelor's,f,other,1,47,5,2,1,0,63
8228,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,31,1,3,0,0,50
52138,Analytics,region_16,Bachelor's,m,other,1,28,3,4,0,0,83
22999,Finance,region_28,Master's & above,f,other,2,32,4,6,1,0,57
29196,Procurement,region_27,Bachelor's,f,other,1,33,2,4,1,0,71
10663,Legal,region_6,Bachelor's,m,sourcing,2,28,,1,1,0,58
65651,Legal,region_2,Bachelor's,m,other,1,32,,1,1,0,62
17973,Operations,region_6,Bachelor's,m,sourcing,1,34,3,10,0,0,67
10986,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,38,5,3,1,0,52
19355,Technology,region_33,Bachelor's,m,other,1,28,4,5,0,0,79
75402,Analytics,region_24,Master's & above,m,other,1,34,3,3,0,0,87
52587,Procurement,region_2,Bachelor's,m,other,1,44,2,16,0,0,70
41662,Procurement,region_20,Bachelor's,m,sourcing,1,28,3,4,0,0,69
73944,Operations,region_27,Bachelor's,f,other,1,31,1,5,1,0,61
3987,Analytics,region_29,Bachelor's,m,other,1,34,2,5,0,0,84
40057,Procurement,region_2,Below Secondary,m,other,1,22,3,2,1,0,71
76195,Procurement,region_2,Bachelor's,m,other,1,20,,1,0,0,76
12411,Procurement,region_11,Bachelor's,f,other,1,32,3,7,1,0,66
15161,Technology,region_2,Master's & above,f,other,1,43,3,6,1,0,80
59084,Analytics,region_2,Master's & above,f,other,1,42,5,13,1,0,85
53857,HR,region_7,Bachelor's,m,other,1,41,3,8,1,0,54
42772,Technology,region_11,Bachelor's,f,other,1,27,3,2,0,0,84
5294,Finance,region_2,Bachelor's,m,sourcing,1,41,4,9,0,0,56
56439,Technology,region_23,Bachelor's,m,other,1,26,5,2,1,0,76
29998,Analytics,region_34,Bachelor's,m,other,1,35,5,10,1,0,85
76599,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,28,1,3,0,0,58
27424,HR,region_2,Bachelor's,f,sourcing,1,50,1,9,0,0,46
45605,Sales & Marketing,region_22,Master's & above,m,other,1,29,,1,1,1,46
75833,Sales & Marketing,region_7,Master's & above,m,other,2,37,1,10,0,0,49
57068,Operations,region_4,Bachelor's,m,other,2,35,3,8,1,0,64
70129,Sales & Marketing,region_28,Master's & above,f,other,1,29,4,4,0,0,51
14733,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,36,5,8,0,0,47
71886,Technology,region_5,Below Secondary,m,other,1,22,,1,1,0,79
7561,Finance,region_2,Bachelor's,m,other,1,36,3,3,0,0,55
59522,Operations,region_22,Bachelor's,f,other,2,37,4,2,0,0,71
44299,Analytics,region_29,Bachelor's,m,other,1,30,3,4,0,0,83
29220,Finance,region_2,Bachelor's,m,sourcing,2,26,2,2,0,0,54
15869,Procurement,region_13,Bachelor's,f,sourcing,2,28,5,3,1,0,68
51270,Operations,region_15,Bachelor's,m,other,1,49,4,9,0,0,61
14778,Analytics,region_22,,m,other,1,29,5,2,1,0,84
19212,Procurement,region_21,Master's & above,m,other,1,35,5,7,1,0,70
70890,Technology,region_24,Bachelor's,m,other,1,32,2,6,0,0,90
31183,Sales & Marketing,region_28,Master's & above,f,sourcing,1,42,3,4,0,0,54
46628,Technology,region_4,Master's & above,m,other,1,37,4,5,0,0,76
44670,Sales & Marketing,region_29,Bachelor's,m,other,1,28,5,2,0,0,45
70734,Procurement,region_15,Bachelor's,m,other,1,38,4,2,1,1,97
47051,Analytics,region_2,Bachelor's,m,sourcing,2,39,4,5,1,0,86
17760,Analytics,region_27,Bachelor's,m,other,1,28,5,2,1,0,87
8180,Operations,region_14,Bachelor's,m,other,2,34,3,10,0,0,60
24756,Operations,region_22,Bachelor's,f,other,1,37,3,3,0,0,63
56780,Sales & Marketing,region_2,Master's & above,f,sourcing,2,38,1,6,0,0,51
59919,Finance,region_2,Bachelor's,f,sourcing,1,24,5,2,1,0,57
18924,Sales & Marketing,region_11,Master's & above,m,other,1,36,3,7,0,0,52
42477,Procurement,region_2,Bachelor's,m,other,1,41,2,15,0,0,70
50900,Operations,region_22,Bachelor's,m,other,2,29,,1,0,0,60
11824,Technology,region_2,Master's & above,f,sourcing,2,59,1,15,0,0,76
51740,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,29,3,1,0,0,48
51364,Operations,region_22,Bachelor's,f,other,1,29,5,3,0,0,57
64265,Sales & Marketing,region_13,Bachelor's,f,sourcing,3,31,1,5,0,0,51
46233,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,31,5,7,0,0,51
41215,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,4,3,0,0,50
47172,Sales & Marketing,region_26,Bachelor's,m,other,1,32,3,4,1,0,47
53542,Procurement,region_26,Bachelor's,f,other,1,49,4,8,0,0,68
2121,Operations,region_2,Master's & above,m,other,1,42,5,11,0,0,59
77677,Sales & Marketing,region_11,Bachelor's,m,other,1,32,5,7,1,0,49
38018,Analytics,region_11,Bachelor's,m,other,1,30,3,4,0,0,80
29799,Analytics,region_4,Bachelor's,m,other,1,32,5,8,0,0,86
565,Procurement,region_1,Bachelor's,f,sourcing,2,29,1,2,0,0,74
33473,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,31,1,6,0,0,50
14628,Sales & Marketing,region_20,Bachelor's,m,other,2,27,,1,1,1,48
46339,Operations,region_34,Bachelor's,m,other,1,30,3,2,1,0,58
6352,Operations,region_2,Bachelor's,f,sourcing,1,48,4,8,1,0,60
63568,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,5,12,0,0,50
15317,Analytics,region_23,Master's & above,m,sourcing,1,35,2,7,1,0,87
63035,Technology,region_2,Bachelor's,f,other,1,47,4,7,0,0,78
22942,Sales & Marketing,region_31,Master's & above,m,other,1,46,5,3,1,0,51
62212,Procurement,region_31,Master's & above,f,other,1,37,3,2,1,1,97
49252,Operations,region_19,Bachelor's,m,other,1,26,5,6,1,0,60
38520,Technology,region_6,Bachelor's,f,sourcing,1,31,5,4,1,0,87
65459,Operations,region_27,,m,other,1,26,,1,1,0,56
69109,Procurement,region_20,Bachelor's,f,other,1,28,2,4,0,0,69
67985,Operations,region_4,Master's & above,f,sourcing,2,36,1,6,1,1,65
74040,Technology,region_24,Master's & above,f,other,1,35,1,7,0,0,80
31049,Analytics,region_13,Bachelor's,m,sourcing,1,34,4,9,0,0,84
55523,Analytics,region_2,Master's & above,m,sourcing,2,58,5,6,1,0,81
40579,Sales & Marketing,region_22,Master's & above,m,sourcing,1,29,2,5,1,0,50
40211,Operations,region_13,Bachelor's,m,other,1,36,2,9,0,0,59
41982,R&D,region_2,Bachelor's,m,sourcing,1,30,1,4,0,0,84
24286,HR,region_2,Master's & above,f,other,1,40,3,10,0,0,49
53696,Procurement,region_15,Bachelor's,m,other,1,38,3,4,1,0,71
47130,Sales & Marketing,region_11,Bachelor's,m,other,1,36,2,5,0,0,52
25340,Sales & Marketing,region_2,Bachelor's,m,other,1,41,4,9,0,0,49
16794,Procurement,region_22,Master's & above,m,other,1,33,5,5,1,0,66
10399,Technology,region_31,Bachelor's,m,sourcing,1,29,1,4,0,0,79
9095,Operations,region_22,Master's & above,f,other,1,33,4,8,1,0,81
60624,Sales & Marketing,region_7,Master's & above,f,other,1,41,1,2,0,0,47
30188,Procurement,region_2,Master's & above,m,other,2,41,3,10,0,0,67
19292,Operations,region_13,Master's & above,m,other,1,41,3,4,0,0,60
58780,Technology,region_7,Bachelor's,f,other,1,28,4,5,1,0,76
33674,Sales & Marketing,region_7,Master's & above,f,sourcing,1,32,5,7,1,0,53
17128,Technology,region_8,Bachelor's,m,other,1,25,3,3,0,0,77
28127,Technology,region_13,Below Secondary,f,sourcing,1,24,2,2,0,0,85
42650,Sales & Marketing,region_7,Bachelor's,m,other,1,53,4,10,1,0,45
58393,Sales & Marketing,region_25,Master's & above,m,sourcing,1,38,5,12,1,0,49
72037,Legal,region_22,Bachelor's,m,sourcing,1,31,3,3,0,0,62
33736,Sales & Marketing,region_2,Bachelor's,f,other,2,51,3,17,0,0,52
51260,Operations,region_14,Master's & above,m,sourcing,1,42,3,4,0,0,59
21326,Operations,region_2,Master's & above,m,other,1,56,5,16,1,0,59
7784,Sales & Marketing,region_4,Bachelor's,m,other,1,48,4,9,0,0,46
33540,Procurement,region_2,Master's & above,m,sourcing,1,56,3,2,1,0,65
14669,Technology,region_26,Bachelor's,m,referred,1,27,,1,0,0,79
53267,R&D,region_26,Bachelor's,m,other,1,31,4,6,0,0,84
51294,Procurement,region_22,Master's & above,m,sourcing,2,33,3,3,0,0,72
4208,Technology,region_7,Master's & above,m,referred,1,36,4,4,1,0,80
64266,Procurement,region_11,Master's & above,f,other,1,38,5,4,1,0,70
57995,Procurement,region_5,Bachelor's,m,other,1,36,2,4,0,0,64
76317,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,50,4,21,1,0,49
32169,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,40,1,3,0,0,47
22403,Finance,region_28,Below Secondary,f,other,1,26,1,2,1,0,54
18775,Operations,region_20,Bachelor's,m,sourcing,1,27,3,3,0,0,58
7007,Sales & Marketing,region_27,Master's & above,m,other,1,54,5,21,0,0,53
58836,Finance,region_26,Bachelor's,f,other,1,29,4,7,0,0,67
67403,Procurement,region_2,Bachelor's,m,sourcing,3,31,4,4,0,0,67
34371,Technology,region_2,Master's & above,m,other,2,45,5,15,0,0,75
17603,Analytics,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,84
72636,Procurement,region_22,Master's & above,m,other,1,39,3,5,0,0,70
44193,Sales & Marketing,region_22,Bachelor's,m,other,1,20,,1,0,0,49
41162,Sales & Marketing,region_22,Bachelor's,m,other,1,28,5,2,0,0,51
42939,Sales & Marketing,region_30,Bachelor's,m,other,1,42,3,4,0,0,51
37227,Operations,region_7,Bachelor's,m,other,1,33,4,3,0,0,58
34986,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,33,3,4,0,0,52
10473,Finance,region_2,Bachelor's,m,sourcing,1,25,5,2,0,0,57
42833,Operations,region_31,Bachelor's,m,other,1,29,3,2,0,0,57
39224,Technology,region_27,Bachelor's,m,other,1,28,5,2,0,1,95
34148,Procurement,region_13,Master's & above,m,other,1,33,4,3,1,0,70
65558,HR,region_15,Bachelor's,m,sourcing,1,32,3,6,0,0,52
63986,Operations,region_20,Master's & above,f,other,1,32,3,5,0,0,57
31641,Analytics,region_2,Bachelor's,m,other,1,37,3,4,1,0,81
45087,Sales & Marketing,region_31,Bachelor's,m,other,1,35,5,8,0,0,50
63354,Technology,region_2,,f,other,1,56,3,12,0,0,79
41610,Procurement,region_1,Bachelor's,m,other,3,28,3,2,0,0,70
10376,Analytics,region_31,Bachelor's,m,other,1,39,3,10,0,0,86
11414,Operations,region_27,Master's & above,m,other,1,40,4,11,0,0,59
32884,Sales & Marketing,region_2,Master's & above,m,other,2,36,4,9,1,0,47
71007,Technology,region_26,Bachelor's,m,other,1,36,3,11,0,0,82
43891,Analytics,region_26,Bachelor's,m,other,1,30,2,5,0,0,88
