ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
459172,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2
459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6
459181,Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6
459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6
459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4
459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6
459193,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6
459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6
459196,Female,No,18,No,Healthcare,0.0,Low,3.0,Cat_4
459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3
459209,Female,No,18,No,Entertainment,0.0,Low,4.0,Cat_6
459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6
459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6
459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6
459216,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6
459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6
459221,Male,Yes,69,No,Entertainment,,Low,1.0,Cat_6
459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6
459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6
459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6
459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6
459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6
459237,Male,No,33,Yes,Artist,1.0,Low,6.0,Cat_6
459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6
459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6
459258,Female,Yes,83,Yes,Lawyer,1.0,High,,Cat_6
459263,Female,No,30,No,Healthcare,9.0,Low,4.0,Cat_6
459264,Female,No,35,Yes,Artist,0.0,Low,2.0,Cat_6
459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6
459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6
459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6
459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4
459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6
459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6
459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6
459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6
459293,Male,No,21,No,Healthcare,,Low,,Cat_1
459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6
459300,Female,Yes,61,Yes,Artist,1.0,Low,,Cat_6
459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6
459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2
459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6
459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6
459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6
459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6
459323,Female,No,18,No,Doctor,,Low,,Cat_6
459338,Male,Yes,80,No,Executive,,Low,,Cat_6
459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6
459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6
459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6
459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6
459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3
459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6
459354,Female,Yes,50,Yes,Artist,,High,3.0,Cat_6
459355,Female,Yes,74,No,Homemaker,,Low,1.0,Cat_6
459360,Female,No,29,Yes,Healthcare,,Low,3.0,Cat_6
459361,Female,No,32,Yes,Engineer,,Low,2.0,Cat_6
459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6
459363,Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6
459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6
459369,Male,Yes,41,No,Engineer,,Average,7.0,Cat_4
459375,Male,Yes,22,No,Executive,0.0,High,4.0,Cat_6
459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6
459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6
459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6
459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7
459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6
459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6
459394,Male,No,28,No,Entertainment,8.0,Low,2.0,Cat_6
459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6
459398,Female,Yes,58,No,Lawyer,,High,2.0,Cat_6
459401,Male,No,28,No,Healthcare,1.0,Low,3.0,
459403,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7
459405,Female,Yes,78,No,Doctor,1.0,High,2.0,Cat_6
459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6
459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6
459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6
459412,Male,Yes,61,Yes,,1.0,Average,3.0,Cat_6
459413,Female,Yes,79,Yes,Artist,,High,2.0,Cat_6
459415,Male,No,30,No,Doctor,0.0,Low,4.0,Cat_6
459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6
459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6
459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6
459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6
459422,Male,Yes,46,Yes,Entertainment,,Low,4.0,Cat_6
459423,Male,No,21,No,Healthcare,8.0,Low,5.0,Cat_6
459424,Male,Yes,47,Yes,Doctor,,Low,3.0,Cat_6
459428,Female,No,39,No,Marketing,0.0,Low,2.0,Cat_4
459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6
459436,Female,No,66,Yes,Artist,0.0,Low,2.0,Cat_6
459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6
459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6
459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6
459449,Male,Yes,37,Yes,Artist,,Low,2.0,Cat_6
459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6
459456,Female,No,66,No,Lawyer,,Low,1.0,Cat_6
459458,Male,No,33,No,Marketing,,Low,,Cat_6
459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6
459461,Female,Yes,35,Yes,Artist,1.0,Low,1.0,Cat_1
459464,Male,No,27,Yes,Artist,,Low,2.0,Cat_6
459466,Female,Yes,48,Yes,Artist,0.0,Average,3.0,Cat_4
459467,Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6
459469,Male,Yes,25,Yes,Healthcare,,Low,6.0,Cat_6
459471,Female,No,30,No,Artist,,Low,8.0,Cat_6
459480,Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,Cat_6
459481,Male,Yes,49,No,Lawyer,0.0,Low,2.0,Cat_6
459482,Male,Yes,72,No,Marketing,1.0,Low,4.0,Cat_6
459485,Female,Yes,79,Yes,Lawyer,,High,2.0,Cat_6
459496,Female,No,35,Yes,Artist,,Low,3.0,Cat_6
459497,Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6
459499,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6
459503,Male,Yes,42,Yes,Healthcare,6.0,High,4.0,Cat_6
459505,Female,No,42,Yes,Engineer,,Low,1.0,Cat_6
459507,Male,Yes,67,No,Lawyer,,High,2.0,Cat_1
459509,Male,No,26,Yes,Healthcare,1.0,Low,1.0,Cat_6
459512,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6
459515,Male,Yes,55,Yes,Engineer,1.0,Low,1.0,Cat_6
459516,Female,,56,Yes,Artist,,Average,2.0,Cat_6
459518,Male,Yes,63,,,,Average,4.0,Cat_6
459535,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6
459536,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6
459538,Female,No,49,Yes,Homemaker,13.0,Low,1.0,Cat_6
459541,Male,Yes,59,Yes,Artist,1.0,High,2.0,Cat_6
459549,Male,No,22,No,Healthcare,8.0,Low,5.0,Cat_4
459555,Female,No,28,Yes,Artist,8.0,Low,1.0,Cat_6
459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6
459564,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6
459566,Female,Yes,37,Yes,Artist,13.0,Low,2.0,Cat_6
459567,Male,Yes,50,Yes,Doctor,0.0,Average,2.0,Cat_6
459571,Female,Yes,50,Yes,Executive,1.0,High,4.0,Cat_6
459576,Female,Yes,88,No,Lawyer,,Low,,
459579,Female,Yes,35,Yes,Artist,3.0,Average,5.0,Cat_4
459581,Female,No,35,No,,,Low,,Cat_7
459582,Male,Yes,31,No,Entertainment,,Average,3.0,Cat_6
459583,Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6
459585,Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6
459587,Female,No,33,Yes,Artist,7.0,Low,3.0,Cat_6
459588,Male,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6
459591,Male,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6
459592,Male,No,25,No,Healthcare,0.0,Low,3.0,Cat_6
459594,Female,Yes,41,Yes,Artist,6.0,Low,1.0,Cat_6
459597,Female,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6
459603,Female,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6
459607,Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,Cat_6
459608,Female,No,62,Yes,Doctor,,Low,1.0,Cat_6
459612,Male,No,21,No,Healthcare,,Low,2.0,Cat_6
459616,Female,No,20,No,Healthcare,,Low,4.0,Cat_1
459617,Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6
459618,Male,Yes,57,Yes,Doctor,0.0,Average,2.0,Cat_4
459621,Female,No,25,No,Healthcare,8.0,Low,,
459625,Female,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6
459626,Female,Yes,26,No,Entertainment,1.0,Low,3.0,Cat_6
459632,Female,Yes,50,No,Marketing,0.0,High,3.0,Cat_4
459644,Female,No,30,No,Marketing,9.0,Low,4.0,Cat_2
459652,Female,No,26,No,Engineer,,Low,4.0,Cat_4
459658,Male,Yes,61,Yes,Artist,1.0,Average,3.0,Cat_6
459664,Male,No,42,Yes,Artist,3.0,Low,1.0,Cat_6
459665,Male,Yes,88,Yes,Artist,4.0,Low,2.0,Cat_6
459672,Male,Yes,45,No,Artist,3.0,Average,3.0,Cat_6
459673,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6
459678,Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_6
459680,Male,No,37,Yes,Entertainment,,Low,1.0,Cat_6
459686,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6
459691,Male,Yes,58,No,Artist,,Average,2.0,Cat_6
459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6
459693,Female,Yes,50,Yes,Artist,0.0,High,3.0,
459699,Female,,56,Yes,Engineer,8.0,Average,3.0,Cat_6
459701,Male,No,46,No,Artist,3.0,Low,3.0,Cat_5
459710,Male,Yes,57,Yes,Artist,,Low,1.0,Cat_6
459711,Male,Yes,42,No,Executive,9.0,High,6.0,Cat_6
459712,Male,No,20,No,Healthcare,,Low,4.0,Cat_6
459713,Male,No,19,No,Healthcare,,Low,3.0,Cat_6
459715,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_6
459718,Male,Yes,68,Yes,Executive,1.0,Low,1.0,Cat_6
459725,Female,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6
459727,Male,Yes,82,No,Lawyer,,High,2.0,Cat_6
459740,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6
459742,Female,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6
459745,Male,Yes,51,No,Artist,0.0,Low,4.0,Cat_1
459746,Male,,59,Yes,Artist,1.0,Average,2.0,Cat_6
459747,Female,Yes,41,Yes,Artist,1.0,Average,5.0,Cat_6
459748,Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6
459755,Female,Yes,62,No,Artist,,Average,3.0,Cat_6
459756,Female,Yes,62,No,Lawyer,1.0,High,4.0,Cat_4
459760,Female,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6
459763,Male,No,18,No,Artist,,Low,4.0,Cat_4
459767,Male,No,22,No,Healthcare,3.0,Low,4.0,Cat_6
459771,Female,,30,Yes,Doctor,0.0,Low,3.0,Cat_3
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6
459780,Female,No,43,No,Entertainment,1.0,Low,3.0,Cat_6
459785,Female,No,32,Yes,Engineer,,Low,1.0,Cat_3
459793,Male,Yes,37,Yes,Artist,1.0,High,,Cat_6
459795,Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6
459801,Female,No,31,Yes,Engineer,4.0,Low,2.0,Cat_6
459804,Male,Yes,46,No,Artist,4.0,High,4.0,Cat_6
459806,Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_6
459808,Male,Yes,43,No,Doctor,,Average,4.0,Cat_6
459815,Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6
459816,Male,Yes,37,Yes,Doctor,,Low,2.0,Cat_6
459819,Male,Yes,72,Yes,Entertainment,,High,2.0,Cat_6
459821,Male,,71,No,Executive,,High,1.0,
459822,Female,No,39,Yes,Engineer,1.0,Low,1.0,Cat_4
459825,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_2
459827,Female,No,26,No,,,Low,1.0,Cat_7
459832,Male,Yes,72,Yes,Executive,1.0,Low,1.0,Cat_6
459845,Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,Cat_4
459851,Male,No,45,Yes,Artist,2.0,Low,1.0,Cat_6
459853,Male,No,33,No,Executive,7.0,Low,5.0,Cat_6
459856,Male,Yes,50,No,Entertainment,0.0,Average,3.0,Cat_6
459857,Male,No,31,Yes,Entertainment,6.0,Low,1.0,Cat_6
459861,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6
459864,Female,Yes,68,No,Artist,,High,2.0,Cat_6
459866,Female,No,49,Yes,Artist,,Low,1.0,Cat_6
459867,Male,Yes,49,Yes,Marketing,0.0,High,2.0,Cat_6
459869,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6
459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6
459885,Female,No,38,Yes,Entertainment,,Low,4.0,Cat_6
459886,Male,Yes,28,No,Artist,0.0,Low,4.0,Cat_6
459887,Male,Yes,46,No,Artist,3.0,Average,2.0,
459889,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6
459897,Female,Yes,56,Yes,Artist,0.0,Low,2.0,Cat_6
459909,Male,Yes,69,Yes,Artist,0.0,Low,1.0,Cat_6
459910,Male,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_6
459911,Male,No,18,No,Healthcare,4.0,Low,6.0,Cat_2
459914,Male,No,36,Yes,Artist,4.0,Low,1.0,Cat_4
459923,Male,No,31,Yes,Marketing,1.0,Low,2.0,Cat_3
459925,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_4
459937,Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6
459943,Male,No,42,Yes,Entertainment,4.0,Low,3.0,Cat_6
459945,Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6
459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6
459949,Female,No,59,Yes,Artist,0.0,Low,1.0,Cat_6
459953,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6
459961,Male,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2
459962,Male,Yes,55,Yes,Artist,9.0,Low,1.0,Cat_6
459966,Female,No,33,Yes,Doctor,1.0,Low,3.0,Cat_6
459968,Male,No,38,Yes,Artist,13.0,Low,1.0,Cat_7
459970,Male,No,43,Yes,Artist,0.0,Low,2.0,Cat_6
459973,Female,No,53,Yes,Artist,0.0,Low,2.0,Cat_6
459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6
459975,Female,No,36,Yes,Artist,5.0,Low,1.0,Cat_6
459981,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6
459986,Male,Yes,62,Yes,Artist,1.0,Low,1.0,Cat_6
459995,Female,No,38,No,Artist,2.0,Low,2.0,Cat_6
459996,Male,No,55,Yes,Entertainment,1.0,Low,1.0,Cat_6
459998,Male,Yes,60,No,Entertainment,1.0,Average,2.0,Cat_6
460004,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_5
460006,Male,No,30,No,Entertainment,5.0,Low,9.0,Cat_3
460014,Female,No,66,No,Entertainment,4.0,Low,3.0,Cat_6
460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6
460027,Female,No,40,Yes,Entertainment,6.0,Low,,Cat_6
460033,Female,,45,Yes,Entertainment,5.0,Low,3.0,Cat_6
460036,Male,Yes,41,Yes,,2.0,Low,1.0,Cat_6
460040,Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,Cat_5
460045,Male,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6
460046,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6
460050,Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,Cat_6
460051,Male,No,39,Yes,Artist,7.0,Low,1.0,Cat_6
460052,Female,No,86,Yes,Lawyer,0.0,Low,1.0,Cat_3
460058,Male,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_4
460059,Female,No,46,No,Entertainment,4.0,Low,,Cat_4
460061,Male,No,52,Yes,Marketing,0.0,Low,1.0,Cat_3
460066,Female,No,45,No,Marketing,0.0,Low,1.0,Cat_6
460068,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_6
460073,Female,Yes,36,Yes,Engineer,3.0,Low,1.0,Cat_6
460075,Female,No,25,Yes,Artist,,Low,1.0,Cat_6
460079,Female,No,40,No,Doctor,1.0,Low,1.0,Cat_6
460081,Male,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6
460088,Female,Yes,25,Yes,Homemaker,,High,2.0,Cat_6
460090,Male,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6
460093,Female,No,46,Yes,Artist,3.0,Low,1.0,Cat_3
460095,Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6
460097,Male,,40,Yes,Artist,0.0,Low,2.0,Cat_3
460099,Male,No,49,Yes,,1.0,Low,1.0,Cat_3
460101,Female,No,26,Yes,Healthcare,8.0,Low,3.0,Cat_3
460103,Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_4
460105,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_4
460106,Female,Yes,71,Yes,Entertainment,0.0,Low,,Cat_6
460107,Male,Yes,48,Yes,Engineer,1.0,Average,5.0,Cat_6
460108,Male,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_2
460109,Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6
460110,Female,No,46,Yes,Artist,1.0,Low,2.0,
460112,Male,Yes,26,Yes,Engineer,8.0,Average,2.0,Cat_3
460116,Female,Yes,42,Yes,,1.0,Low,2.0,Cat_6
460118,Female,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6
460119,Male,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6
460122,Female,No,39,No,Artist,1.0,Low,1.0,Cat_6
460124,Female,No,41,Yes,Artist,0.0,Low,3.0,Cat_6
460126,Female,Yes,48,Yes,Marketing,8.0,Low,,Cat_6
460134,Male,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6
460135,Female,No,25,Yes,Healthcare,4.0,Low,3.0,Cat_6
460140,Female,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6
460141,Male,No,37,Yes,Artist,11.0,Low,1.0,Cat_6
460144,Female,No,53,Yes,Doctor,0.0,Low,,Cat_3
460146,Female,Yes,51,Yes,Engineer,0.0,Average,3.0,Cat_3
460147,Male,Yes,73,Yes,Entertainment,1.0,Average,3.0,Cat_6
460157,Male,Yes,61,No,,1.0,Low,5.0,Cat_4
460160,Male,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_3
460162,Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_2
460166,Female,No,19,No,Healthcare,0.0,Low,7.0,Cat_2
460167,Female,No,23,No,Entertainment,1.0,Low,5.0,Cat_2
460168,Male,Yes,83,Yes,Executive,0.0,High,2.0,Cat_2
460171,Female,Yes,62,Yes,Artist,1.0,High,2.0,Cat_6
460174,Female,No,43,Yes,Artist,9.0,Low,4.0,Cat_6
460175,Female,No,27,No,Artist,0.0,Low,5.0,Cat_2
460177,Male,No,50,Yes,Artist,0.0,Low,1.0,Cat_6
460179,Female,No,23,No,Entertainment,0.0,Low,6.0,Cat_2
460183,Male,No,35,No,Entertainment,9.0,Low,2.0,Cat_6
460185,Male,No,32,No,Healthcare,9.0,Low,3.0,Cat_6
460187,Female,No,42,Yes,Doctor,2.0,Low,3.0,Cat_6
460189,Male,No,33,No,Entertainment,13.0,Low,1.0,Cat_6
460190,Female,No,28,Yes,Entertainment,9.0,Low,3.0,Cat_6
460192,Male,Yes,35,Yes,,1.0,Low,2.0,Cat_7
460196,Female,No,35,Yes,Healthcare,9.0,Low,2.0,Cat_6
460206,Female,Yes,39,Yes,Entertainment,0.0,Low,2.0,Cat_6
460211,Male,Yes,28,,Artist,6.0,Low,1.0,Cat_6
460212,Male,Yes,35,Yes,Entertainment,11.0,Low,6.0,Cat_6
460214,Female,Yes,45,Yes,Engineer,0.0,Average,2.0,Cat_6
460222,Female,,73,Yes,Lawyer,4.0,High,,Cat_6
460223,Male,No,52,No,Entertainment,1.0,Low,1.0,Cat_6
460227,Male,No,28,No,Healthcare,0.0,Low,3.0,Cat_6
460242,Male,Yes,38,Yes,Healthcare,9.0,Low,3.0,Cat_6
460243,Female,No,42,Yes,Entertainment,8.0,Low,1.0,Cat_6
460247,Female,No,26,No,Doctor,9.0,Low,,Cat_6
460248,Female,No,27,Yes,Healthcare,7.0,Low,2.0,Cat_6
460252,Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6
460263,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6
460265,Male,Yes,47,Yes,Executive,0.0,High,4.0,Cat_6
460270,Male,No,35,Yes,Doctor,8.0,Low,1.0,Cat_6
460272,Female,No,88,Yes,Lawyer,0.0,Low,1.0,Cat_6
460275,Female,No,46,Yes,Artist,6.0,Low,1.0,Cat_6
